Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,MACD,MACD_Sig,MACD_Hist,ADX,DI_Plus,DI_Minus,AROON_Up,AROON_Dn,RSI,STOCH_K,STOCH_D,WILLR,ROC,MFI,BB_Upper,BB_Mid,BB_Lower,BB_Width,BB_Pct,ATR,KC_Upper,KC_Lower,KC_Mid,Ulcer,OBV,VWAP,CMF,Signal_RSI,Signal_MACD,Signal_MA
2025-05-27,4970.91748046875,5050.881436429017,4921.397000387491,4945.317219029735,2490282,4684.509594726563,4263.354091796875,4172.249768066406,4703.454781946898,4371.340904406959,212.00630162704692,204.14900423869074,7.857297388356187,38.75852188453131,30.10655681779239,12.112644562793449,72.0,16.0,65.35640139079831,83.11381381360165,79.24536146252154,-16.88618618639835,11.727979781839126,84.55436030656547,5163.732135124355,4684.509594726563,4205.28705432877,20.45988083522178,0.7988255576463975,160.21434424635547,4849.93006870759,4514.733493379968,4682.331781043779,2.64946026983581,54926363,4433.0247807425,0.11787311891849188,0,0,1
2025-05-28,4959.748046875,5016.286483645039,4943.142601913072,5010.355898639745,1273825,4704.698315429688,4294.152602539062,4174.959418945313,4727.863664321003,4394.415694307667,206.66522719142813,204.65224882923823,2.012978362189898,39.03435674421538,29.085136798279866,11.701700936109274,68.0,12.0,64.7502860635257,81.70971722190083,81.57306205052059,-18.29028277809917,13.021144362057937,85.77686298968098,5194.464430894995,4704.698315429688,4214.932199964381,20.820298460330747,0.7603791109589114,153.99502549532772,4865.802642227778,4544.196988951301,4704.99981558954,2.4858843059609503,53652538,4434.161478440376,0.07430027059221186,0,0,1
2025-05-29,4942.84619140625,4984.656622012113,4906.570587282992,4981.691329554045,1401179,4730.04169921875,4325.491796875,4176.477971191406,4748.338190710074,4415.922772625259,198.77716926639732,203.47723291667006,-4.700063650272739,38.853769266208964,27.993252342133516,13.020659518535368,64.0,8.0,63.7862743998677,77.94633212468128,80.92328772006125,-22.053667875318723,8.479767826622675,82.5123387866303,5213.9864434359715,4730.04169921875,4246.096955001529,20.4625994860533,0.7198644522234767,148.57295472631293,4884.602610922555,4572.07073302638,4728.336671974468,2.4949777123377608,52251359,4435.366140699426,0.10236154093317201,0,-1,1
2025-05-30,4916.5537109375,5006.40197362176,4901.035154412575,4946.107695163531,1852727,4754.248388671875,4356.685688476562,4178.2203051757815,4764.35871644602,4435.555358441426,188.23439416789643,200.42866516691535,-12.194270999018926,38.807250840822554,27.612744191614286,12.347085669243846,60.0,4.0,62.23406389537133,72.89505421094893,77.51703451917702,-27.104945789051072,4.322572196207749,78.09335268301449,5224.461384910362,4754.248388671875,4284.035392433388,19.780750091176603,0.6725870228641084,145.4868021893752,4907.68248300098,4596.37624938143,4752.029366191205,2.4287426030350083,50398632,4436.868213621967,0.10586307394251275,0,0,1
2025-06-02,4959.05615234375,4976.748966741771,4892.732350620014,4912.500966178074,1084257,4775.316796875,4387.864750976562,4179.900893554687,4782.901329388661,4456.084801339556,181.2197720328977,196.58688654011183,-15.367114507214126,38.65678547404161,26.43830161435239,12.242253362665743,56.00000000000001,0.0,63.76893354905581,74.71360731624893,75.18499788395972,-25.286392683751075,3.1306544731360004,76.71939848690408,5242.579370962959,4775.316796875,4308.054222787042,19.56990892808361,0.6966125318589738,141.0960746131168,4929.034228376489,4617.886153647446,4773.460191011968,2.4962167047482633,51482889,4437.820421127466,0.09736847358651654,0,0,1
2025-06-03,4931.47900390625,4997.407046861982,4912.5009400186855,4968.841494059141,1164102,4799.12314453125,4418.4922705078125,4181.430629882812,4797.051584104623,4474.7277112441325,171.45891638758076,191.56129250960564,-20.10237612202488,38.644989582301115,26.345049510083278,11.700638939215354,52.0,0.0,62.00801512170019,57.9224138974595,68.51035847488579,-42.0775861025405,-2.7010214608118894,72.68588190530104,5246.8609959809455,4799.12314453125,4351.385293081554,18.6591524312064,0.6478050816414734,137.08250548670108,4946.254318553122,4644.901603841791,4795.577961197456,2.5985007580012955,50318787,4438.785006863684,0.11748653214864305,0,0,1
2025-06-04,4902.4189453125,4991.575597553376,4834.415098541299,4942.154056983541,2172800,4823.314990234375,4442.5931787109375,4182.938371582031,4807.086570886326,4491.499916501716,159.53939328604793,185.1569126648941,-25.61751937884617,37.61240140466415,24.209978081551398,14.779023882365298,48.0,28.000000000000004,60.12389324848937,46.79802378762511,59.81134833377785,-53.20197621237489,-1.1263252340557073,64.89568605169879,5237.198909635738,4823.314990234375,4409.431070833011,17.161803458382554,0.5955629723335714,138.51664788137077,4968.723006381822,4669.445996246041,4819.0845013139315,2.741903173971279,48145987,4440.469763063785,0.1295673075334959,0,0,1
2025-06-05,5012.92578125,5040.008688856653,4932.269730808923,4942.154038886696,2465458,4855.374755859375,4467.356342773437,4185.192658691406,4826.690305206676,4511.9479896291,157.19798297318357,179.565126726552,-22.367143753368424,37.00302248387212,24.990177040544157,13.729941885492208,44.0,24.0,64.53672476553405,77.20559078892657,60.64200949133707,-22.794409211073425,4.541064848323653,60.20737819788338,5220.878953997198,4855.374755859375,4489.870557721552,15.055653436297128,0.7155256029798273,138.45044042871237,4996.4765021287685,4701.449744279331,4848.96312320405,2.741903173971279,50611445,4442.820450045964,0.1666027230607011,0,0,1
2025-06-06,4931.57763671875,5040.008689396429,4912.501115179496,5033.979164941896,2141012,4879.497387695313,4489.063271484375,4186.511259765625,4836.679574874493,4528.404054220851,147.0828040136239,173.06866218396638,-25.985858170342482,36.182845849285485,23.336914860967294,13.847299095072707,40.0,20.0,59.331570213716816,63.501645275296966,62.50175328394956,-36.498354724703034,-0.2359499308458381,49.32779927852532,5194.805675522791,4879.497387695313,4564.189099867835,12.923801890850267,0.5825862354939639,137.66880712787096,5018.678289743274,4732.547409429963,4875.612849586619,2.7145897805285686,48470433,4444.557136481166,0.13029562372194176,0,0,1
2025-06-09,4950.65478515625,4975.266616463304,4929.304582557365,4956.190094368146,1054807,4907.613305664063,4506.4359375,4187.815393066407,4847.534356806089,4544.9629064143965,139.00347274956948,166.25562429708702,-27.252151547517542,35.42125326002647,22.75259418042937,13.50058388961175,36.0,16.0,60.14342283623651,69.33787624613474,70.0150374367861,-30.662123753865263,-0.623013722905671,54.476486732542504,5129.022776872513,4907.613305664063,4686.203834455613,9.023101757137738,0.5971988218418737,131.11832332630436,5037.4074131595535,4765.262828537861,4901.335120848707,2.3246075659266796,49525240,4445.441553058491,0.18851228474142312,0,0,1
